Region,Date,Location,Province,Type of attack,"Confirmed/possible US attack?",Drone strike,Minimum number of strikes,Maximum number of strikes,MinTotal,MaxTotal,MinCivilians,MaxCivilians,MinChildren,MaxChildren,MinInj,MaxInj,Strike link,
Hadramawt,30/11/2016,Unknown,Hadramout,US air or drone strike,Confirmed,1,1,1,3,3,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/18/yemen-reported-us-covert-actions-2016/#YEM253,
??,13/12/2016,Unknown,Marib/Al Jawf,US air or drone strike,Possible,1,1,1,4,4,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/18/yemen-reported-us-covert-actions-2016/#YEM254,
Al Bayda',29/12/2016,Sawmaah,Bayda ,US air or drone strike,Confirmed,1,1,1,2,2,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/18/yemen-reported-us-covert-actions-2016/#YEM255,
Al Bayda',8/1/17,Unknown,Bayda,US air or drone strike,Confirmed,1,1,1,1,1,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2017/01/13/yemen-reported-us-covert-actions-2017/#YEM256,https://www.thebureauinvestigates.com/2017/01/13/yemen-reported-us-covert-actions-2017/#
Al Bayda',20/01/2017,Sawmaah,Bayda,US air or drone strike,Confirmed,1,1,1,5,7,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2017/01/13/yemen-reported-us-covert-actions-2017/#YEM257,
Al Bayda',28/01/2017,Yakla,Bayda,"US air and ground operationSpecial forces air assault and air support, possibly drone",Confirmed,0,1,1,39,39,25,25,10,10,7,7,https://www.thebureauinvestigates.com/2017/01/13/yemen-reported-us-covert-actions-2017/#YEM258,
Shabwah,30/01/2017,Baihan,Shabwa,US air or drone strike,Confirmed,1,1,1,2,2,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2017/01/13/yemen-reported-us-covert-actions-2017/#YEM259,
??,2/3/17,Unknown,Across central Yemen ,US air or drone strikes,Confirmed,0,25,25,2,12,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2017/01/13/yemen-reported-us-covert-actions-2017/#YEM260,
??,3/3/17,Unknown,Yemen,US air or drone strikes,Confirmed,0,5,10,1,8,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2017/01/13/yemen-reported-us-covert-actions-2017/#YEM261,
Abyan,4/3/17,Ahwar,Abyan ,US air or drone strike,Confirmed,1,1,1,2,2,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2017/01/13/yemen-reported-us-covert-actions-2017/#YEM262,
??,6/3/17,Unknown,Multiple provinces,US air or drone strikes,Confirmed,0,9,4,11,11,2,2,2,2,0,0,https://www.thebureauinvestigates.com/2017/01/13/yemen-reported-us-covert-actions-2017/#YEM263,
Abyan,29/03/2017,Unknown,Abyan ,US air or drone strike,Possible,1,1,1,4,4,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2017/01/13/yemen-reported-us-covert-actions-2017/#YEM264,
